pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value,similarity,kl_divergence,js_divergence,image_idx,image_name
0.6063827,0.0,0.5655658088604003,0.0,0.428795,1.4499925,0.5247689,24,COCO_val2014_000000001561.jpg
0.09566039,0.0,0.16525852928024037,0.0,0.3266188,1.693232,0.59606344,25,COCO_val2014_000000001573.jpg
0.008038992,8.361264061526236e-06,0.008047448619166599,8.180574364689793e-06,0.22450887,2.0454621,0.6555329,26,COCO_val2014_000000001599.jpg
0.41659808,0.0,0.5196765807040022,0.0,0.5207357,0.82640207,0.44451588,27,COCO_val2014_000000001668.jpg
-0.06720455,2.332800362013258e-304,0.1500091939862954,0.0,0.1375076,2.969337,0.71758294,28,COCO_val2014_000000001675.jpg
0.4320442,0.0,0.5867253480508968,0.0,0.43374646,1.2076287,0.52500165,29,COCO_val2014_000000001700.jpg
0.7024894,0.0,0.6882431872434334,0.0,0.59225214,0.677099,0.38710406,30,COCO_val2014_000000001799.jpg
0.16206056,0.0,0.37410611689666684,0.0,0.49343666,0.9018809,0.46682206,31,COCO_val2014_000000002006.jpg
0.33446118,0.0,0.2752459367261925,0.0,0.4410815,1.6899543,0.51650167,32,COCO_val2014_000000002124.jpg
0.1857239,0.0,0.37189007078198877,0.0,0.27939922,1.5764836,0.6124476,33,COCO_val2014_000000002153.jpg
0.14070171,0.0,-0.057928403248076354,1.476229449048041e-226,0.30539078,6.372332,0.60308635,34,COCO_val2014_000000002154.jpg
0.38945496,0.0,0.5349862711596857,0.0,0.5434331,0.7218998,0.41710928,35,COCO_val2014_000000002179.jpg
0.23920456,0.0,0.4138044625610337,0.0,0.43625456,1.8795247,0.5301746,36,COCO_val2014_000000002302.jpg
0.57446766,0.0,0.7092826926958339,0.0,0.5517377,0.67841846,0.41291362,37,COCO_val2014_000000002346.jpg
0.36102134,0.0,0.5281269334740022,0.0,0.5457374,0.78762126,0.42849633,38,COCO_val2014_000000002434.jpg
0.23028,0.0,0.6031092812102582,0.0,0.47573042,0.8404043,0.45275995,39,COCO_val2014_000000002640.jpg
0.23177148,0.0,0.5004222426939775,0.0,0.43023545,1.2118394,0.5105104,40,COCO_val2014_000000002822.jpg
0.05716582,1.1190677718122556e-220,0.2167980442103679,0.0,0.3081029,1.9623289,0.586506,41,COCO_val2014_000000002839.jpg
0.40643865,0.0,0.5040882728868453,0.0,0.52679247,1.0814027,0.45351636,42,COCO_val2014_000000003001.jpg
0.46099612,0.0,0.4781922979029877,0.0,0.5104086,1.4419687,0.4739828,43,COCO_val2014_000000003067.jpg
0.4456344,0.0,0.47335351477452586,0.0,0.5800657,0.7338483,0.39802867,44,COCO_val2014_000000003091.jpg
0.48237923,0.0,0.5533989843092572,0.0,0.5141487,0.9186366,0.45794803,45,COCO_val2014_000000003093.jpg
-0.061341073,7.868894496851806e-254,0.009799757052120016,5.582440472826741e-08,0.41627157,0.9986537,0.5156704,46,COCO_val2014_000000003192.jpg
0.5057007,0.0,0.4651606299605474,0.0,0.48320103,1.0572968,0.4818064,47,COCO_val2014_000000003326.jpg
0.2855969,0.0,0.4844000398768249,0.0,0.50396657,1.0392139,0.44662592,48,COCO_val2014_000000003580.jpg
0.64834666,0.0,0.5968934260470962,0.0,0.54213697,0.6498285,0.427258,49,COCO_val2014_000000003590.jpg
